Site Reference	Officer	Date	Borough	Zone	Major/Minor	Principal Contractor	Cold-Engaged	Audit num	Off-Scope	Audit Type	First Border	Supplier	Engine Manufacturer	Item Manufacturer	Machine Type	ID	kW Power	TAN	EU Stage	TAN Proof	Engine Type	Second Border	Initial Machinery Compliance	Initial Machinery Reasons	Initial Emissions Stage	Initial Retrofit or Exemption	Initial Site Compliance	Initial Site Reasons	Third Border	Final Machinery Compliance	Final Machinery Reasons	Final Emissions Stage	Final Retrofit or Exemption	Final Site Compliance	Final Site Reasons	Fourth Border	 Comments
Bromley Demolition	Elizabeth Gunner	17/06/2016	Bromley	GL	Major	Bromley Demolition	No	1		Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
Alexandra Junior School	Elizabeth Gunner	12/08/2016	Bromley	GL	Major	Unidentified	No	1		Physical					Site Complete								Site complete	None	Site Complete	None	Site complete	None		Site complete	None	Site Complete	None	Site complete	None		
250 City Road	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Berkeley Group	No	1		Physical		Unidentified	JCB	JCB	Telehandler		Unidentified						Compliant	None	IIIB	None	Self-compliant	None		Compliant	None	IIIB	None	Self-compliant	None		
250 City Road	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Berkeley Group	No	1		Physical		Unidentified	Unidentified	CAT	Telehandler		Unidentified						Compliant	None	IIIB	None	Self-compliant	None		Compliant	None	IIIB	None	Self-compliant	None		
250 City Road	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Berkeley Group	No	1		Physical		Unidentified	JCB	JCB	Telehandler		Unidentified						Compliant	None	IIIB	None	Self-compliant	None		Compliant	None	IIIB	None	Self-compliant	None		
City University MEH	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Morgan Sindall	No	1	1	Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
Moreland Primary School	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Morgan Sindall	No	1		Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
White Collar Factory	Elizabeth Gunner	04/10/2016	Islington	CAZ	Major	Multiplex	No	1		Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
Brewery Wharf	AB	18/10/2016	Richmond	GL	Major	Berkeley Group	No	1		Physical		Unidentified	Unidentified	Manitou	Telehandler		55						Compliant	None	IIIB	None	Self-compliant	None		Compliant	None	IIIB	None	Self-compliant	None		
Randells Road	Elizabeth Gunner	18/10/2016	Islington	CAZ	Major	Formwork Construction Ltd	No	1		Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
100 Clerkenwall Road	Elizabeth Gunner	18/10/2016	Islington	CAZ	Major	Keltbray	No	1		Physical					No NRMM								No NRMM	None	No NRMM	None	No NRMM	None		No NRMM	None	No NRMM	None	No NRMM	None		
207 Old Street	Elizabeth Gunner	18/10/2016	Islington	CAZ	Major	Keltbray	No	1	4	Physical		Unidentified	Unidentified	CAT	Excavator		Unidentified						Compliant	None	IIIB	Retrofit	Self-compliant	None		Compliant	None	IIIB	Retrofit	Self-compliant	None		
207 Old Street	Elizabeth Gunner	18/10/2016	Islington	CAZ	Major	Keltbray	No	1	4	Physical		Unidentified	Unidentified	CAT	Excavator		Unidentified						Compliant	None	IIIA	Retrofit	Self-compliant	None		Compliant	None	IIIA	Retrofit	Self-compliant	None		
207 Old Street	Elizabeth Gunner	18/10/2016	Islington	CAZ	Major	Keltbray	No	1	4	Physical		Unidentified	Unidentified	CAT	Excavator		Unidentified						Compliant	None	IIIA	Retrofit	Self-compliant	None		Compliant	None	IIIA	Retrofit	Self-compliant	None		
